epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.629,1.4865,2.75693,1.58256,0.65084,0.45338,0.4444,0.22365,1.57792,1.73352,1.68555,0.00333187,0.00333187,0.00333187
2,596.751,1.48559,1.99787,1.54548,0.43046,0.43837,0.41539,0.20657,1.65079,1.69666,1.73798,0.00666357,0.00666357,0.00666357
3,876.525,1.56178,1.8275,1.61039,0.58778,0.40819,0.38273,0.19186,1.69149,1.73185,1.79266,0.00998877,0.00998877,0.00998877
4,1158.58,1.58783,1.79918,1.64019,0.50185,0.44146,0.43635,0.22534,1.65399,1.67322,1.78387,0.00997803,0.00997803,0.00997803
5,1434.19,1.54157,1.65821,1.61255,0.50675,0.50531,0.49728,0.25634,1.65431,1.42883,1.74483,0.00996097,0.00996097,0.00996097
6,1709.1,1.50336,1.56286,1.57892,0.71658,0.49228,0.51351,0.27555,1.58083,1.35242,1.68757,0.00993906,0.00993906,0.00993906
7,1986.69,1.48374,1.49926,1.5551,0.73715,0.52701,0.55455,0.3077,1.54699,1.27026,1.63696,0.00991232,0.00991232,0.00991232
8,2262.8,1.45977,1.44661,1.53388,0.52237,0.5839,0.56125,0.30881,1.52541,1.27735,1.62313,0.00988079,0.00988079,0.00988079
9,2540.42,1.44725,1.41136,1.52066,0.74352,0.53024,0.56559,0.3138,1.53226,1.20587,1.62705,0.00984449,0.00984449,0.00984449
10,2818.48,1.42897,1.37711,1.50817,0.57748,0.5838,0.59003,0.33535,1.49406,1.1626,1.5944,0.00980345,0.00980345,0.00980345
11,3095.95,1.4187,1.35448,1.5028,0.5431,0.59665,0.59552,0.33839,1.48521,1.14333,1.5809,0.00975773,0.00975773,0.00975773
12,3374.92,1.40745,1.33521,1.48851,0.76599,0.56185,0.61628,0.35238,1.45619,1.10518,1.54957,0.00970736,0.00970736,0.00970736
13,3656.21,1.39623,1.30761,1.47977,0.60054,0.61007,0.62058,0.3625,1.43718,1.05701,1.53525,0.00965239,0.00965239,0.00965239
14,3937.18,1.38887,1.29171,1.47147,0.76173,0.56649,0.6205,0.36747,1.41735,1.04565,1.52736,0.00959289,0.00959289,0.00959289
15,4216.16,1.37627,1.26829,1.45989,0.56444,0.64487,0.62715,0.37604,1.39026,1.02738,1.50926,0.00952889,0.00952889,0.00952889
16,4495.13,1.36697,1.25716,1.45541,0.6291,0.5875,0.63332,0.38266,1.37578,1.00907,1.49699,0.00946048,0.00946048,0.00946048
17,4771.41,1.36391,1.25284,1.45249,0.59634,0.62445,0.63645,0.38612,1.35615,1.00828,1.48382,0.00938772,0.00938772,0.00938772
